Eagle Sign Company,,,
219-1141,FSTPLT,"1/2"" x 8"" Top Plate",EA
219-1150,FSTPLT,3/4 X 8 MATCH PLATE,EA
219-1160,FSTPLT,3/4 X 8 TOP PLATE,EA
219-1265,FSTPLT,"24 x 24 x 1.25"" CS Plate 9 H",EA
219-1266,FSTPLT,"24 x 24 x 1 3/8"" CS Plate 9 H",EA
219-1267,FSTPLT,"24 x 24 x 1 3/4"" CS Plate 9 H",EA
,,,
******,FSTTBE,STEEL SQUARE TUBE,
219-1731,FSTTBE,"1-1/2"" X 1-1/2"" X 3/16"" SQ STEEL TUBE ",FT
219-1761,FSTTBE,2 X 2 X 1/8 SQ STEEL TBE,FT
219-1771,FSTTBE,2 X 2 X 3/16 SQ STEEL TBE,FT
219-1781,FSTTBE,2 X 2 X 1/4 SQ STEEL TBE,FT
219-1810,FSTTBE,"2-1/2"" SQ STEEL TUBE X 1/4",FT
219-1811,FSTTBE,"2-1/2"" SQ STEEL TUBE X 1/4",FT
219-1841,FSTTBE,"3"" X 3"" X 1/4"" SQUARE STEEL TUBING",FT
219-1891,FSTTBE,4 X 4 X 1/4 SQUARE TUBE,FT
219-1952,FSTTBE,5 X 5 X 1/4 SQUARE TUBE,FT
219-2102,FSTTBE,"8"" X 8"" 1/4"" SQUARE STEEL TUBE",FT
219-2110,FSTTBE,8 X 8 X 3/8 SQ TUBING,FT
219-2191,FSTTBE,10X10X3/8 SQ TUBING,FT
,,,
******,HRDWRE,HARDWARE,
214-0100,HRDWRE,BLUE ANCHORS,EA
214-0420,HRDWRE,1/4 X 1 BOLT,EA
214-0492,HRDWRE,"1/4"" x 3/4"" THMS Phillips",EA
214-0500,HRDWRE,1/4 X 3 BOLT,EA
214-0570,HRDWRE,5/16 X 1 BOLT,EA
214-0580,HRDWRE,5/16 X 2 BOLT,EA
214-0590,HRDWRE,5/16 X 2-1/2 BOLT - GRADE 8,EA
214-0620,HRDWRE,3/8 X 1 HEX BOLT,EA
214-0630,HRDWRE,3/8 X 1-1/2 HEX BOLT,EA
214-0640,HRDWRE,3/8 X 2 BOLT,EA
214-0650,HRDWRE,3/8 X 2-1/2 BOLT,EA
214-0765,HRDWRE,"1/2"" x 1 1/4"" x 13 HHMS",EA
214-0820,HRDWRE,"1/2"" X 3"" BOLT",EA
214-0830,HRDWRE,1/2 X 3-1/2 BOLT,EA
214-0840,HRDWRE,1/2 X 4 BOLT,EA
214-0860,HRDWRE,1/2 X 5-1/2 BOLT,EA
214-0910,HRDWRE,5/8 X 2 BOLT,EA
214-0911,HRDWRE,"5/8""-11 x 2"" A325 bolt",EA
214-1012,HRDWRE,3/4 X 1 3/4 BOLT,EA
214-1160,HRDWRE,7/8 X 2-1/2 BOLT GRADE 5,EA
214-1240,HRDWRE,1 X 2-1/2 BOLT,EA
214-1250,HRDWRE,1 X 3 BOLT,EA
214-1800,HRDWRE,1/2 X 3 EYE BOLT,EA
214-2270,HRDWRE,1/4 X 2 TOGGLE BOLTS,EA
214-2280,HRDWRE,1/4 X 4 TOGGLE BOLTS,EA
214-2290,HRDWRE,1/4 X 6 TOGGLE BOLT,EA
214-2450,HRDWRE,CABLE TIE,EA
214-2680,HRDWRE,1/4 X 2 LAG SCREW,EA
214-2690,HRDWRE,1/4 X 2-1/2 LAG SCREW,EA
214-2700,HRDWRE,1/4 X 3 LAG SCREW,EA
214-2710,HRDWRE,1/4 X 3-1/2 LAG,EA
214-2830,HRDWRE,3/8 X 1-1/2 LAG SCREW,EA
214-2840,HRDWRE,3/8 X 2 LAG SCREW,EA
214-2850,HRDWRE,3/8 X 2-1/2 LAG SCREW,EA
214-2860,HRDWRE,3/8 X 3 LAG SCREW,EA
214-2870,HRDWRE,3/8 X 3-1/2 LAG SCREW,EA
214-2880,HRDWRE,3/8 X 4 LAG SCREW,EA
214-2890,HRDWRE,3/8 X 4-1/2 LAG SCREW,EA
214-2900,HRDWRE,3/8 X 5 LAG,EA
214-2920,HRDWRE,3/8 X 8 LAG SCREW,EA
214-2960,HRDWRE,1/2 X 3-1/2 LAG SCREW,EA
214-2970,HRDWRE,1/2 X 4 LAG SCREW,EA
214-2980,HRDWRE,1/2 X 5 LAG,EA
214-3000,HRDWRE,1/2 X 8 LAG SCREW,EA
214-3200,HRDWRE,3/16 HEX NUT,EA
214-3205,HRDWRE,3/16 PUSH NUT,EA
214-3210,HRDWRE,3/16 HEX NUT (TINNERMAN),EA
214-3230,HRDWRE,1/4 HEX NUT,EA
214-3235,HRDWRE,"1/4"" X 20 Rivet Nut",EA
214-3240,HRDWRE,"1/4"" SPEED NUT - FLAT(TINNERMAN)",EA
214-3265,HRDWRE,"5/16"" Hex Nut",EA
214-3270,HRDWRE,3/8 HEX NUT,EA
214-3278,HRDWRE,"1/2"" Alum.Nuts",EA
214-3280,HRDWRE,1/2 HEX NUT,EA
214-3310,HRDWRE,5/8 HEX NUT,EA
214-3480,HRDWRE,1-1/8 HEX NUT,EA
214-3540,HRDWRE,#10-24 HEX NUTS,EA
214-3550,HRDWRE,10-24 TINNERMAN NUT,EA
214-3600,HRDWRE,6-32 (3/16) NUT,EA
214-3645,HRDWRE,Bulbex Rivets BF01-0630,EA
214-3649,HRDWRE,4-4 S/S rivet,EA
214-3670,HRDWRE,6-4 S/S rivet,EA
214-3712,HRDWRE,6-6 S/S rivet,EA
214-3715,HRDWRE,4-2 A/A rivet,EA
214-3716,HRDWRE,4-4 A/A rivet,EA
214-3750,HRDWRE,"1/4"" TAPCON SCREW",EA
214-3755,HRDWRE,"3/8"" x 3"" TAPCON SCREW",EA
214-3850,HRDWRE,#8 X 3 GALV DECK SCREW,EA
214-3870,HRDWRE,3 DECK SCREW,EA
214-3880,HRDWRE,3.5 DECK SCREW,EA
214-4100,HRDWRE,"1/4"" x 1"" THMS",EA
214-4180,HRDWRE,"10-24 x 1/2"" THMS",EA
214-4220,HRDWRE,10-24 X 5/8 MACH SCR PAN HEAD,EA
214-4291,HRDWRE,#8 x 1/2 FHSMS,EA
214-4292,HRDWRE,"#8 x 1"" FHSMS",EA
214-4300,HRDWRE,#8 X 1 DRIL &TAP FLAT HEAD SCR,EA
214-4310,HRDWRE,"#10 x 3/4"" TEK Screw",EA
214-4311,HRDWRE,"#10 x 3/4"" PHPSMS Pancake Head Phillips Sheet Metal Screw",EA
214-4312,HRDWRE,"#10 x 1/2"" TEK Screws",EA
214-4320,HRDWRE,"#10 x 3/4"" TEK Screw w/ Rubb",EA
214-4330,HRDWRE,#10 X 1-1/2 SELF TAPPING SCREW,EA
214-4345,HRDWRE,"#12 X 1"" TEK SCREW WITH RUBBER WASHER",EA
214-4350,HRDWRE,"#10 x 2"" Tek Screw",EA
214-4355,HRDWRE,"#10 x 4"" Tek Screw",EA
214-4380,HRDWRE,"#12-24 x 1 1/2"" TEK 5 (Man Killer)",EA
214-4391,HRDWRE,12 X 2 1/2 HWHSMS Tek,EA
214-4410,HRDWRE,"#14 x 3/4"" Tek Screw",EA
214-4440,HRDWRE,#14 X 1-1/2 SELF TAPPER SCREW,EA
214-4470,HRDWRE,#14 X 2 SELF TAPPING SCR,EA
214-4652,HRDWRE,"#8 x 1/2"" PHSMS Black",EA
214-4656,HRDWRE,"#8 X 1/2"" Lath trim cap) screw",EA
214-4670,HRDWRE,#8 X 1 SHEET METAL SCREW,EA
214-4710,HRDWRE,#10 X 1/2 SHEET METAL SC,EA
214-4712,HRDWRE,"#10 x 1/2"" HWHSMS - Black",EA
214-4930,HRDWRE,#08 X 2-1/2 WOOD SCREW,EA
214-4995,HRDWRE,3/16” aluminum weld studs,EA
214-5000,HRDWRE,"2"" STUDS X 3/16 ALUMINUM",EA
214-5350,HRDWRE,AWNING WALL CLIPS/NAGLE,EA
214-5380,HRDWRE,45 WALL ANGLE #304,EA
214-5430,HRDWRE,3/16 FLAT WASHERS,EA
214-5440,HRDWRE,1/4 FLAT WASHERS,EA
214-5450,HRDWRE,5/16 FLAT WASHERS,EA
214-5460,HRDWRE,3/8 FLAT WASHERS,EA
214-5470,HRDWRE,1/2 FLAT WASHERS,EA
214-5500,HRDWRE,5/8 FLAT WASHERS,EA
214-5510,HRDWRE,5/8 FLAT WASHERS/A325,EA
214-5520,HRDWRE,"3/4"" flat washers",EA
214-5530,HRDWRE,7/8 FLAT WASHERS,EA
214-5550,HRDWRE,"1"" flat washers",EA
214-5560,HRDWRE,1-1/8 FLAT WASHERS,EA
214-5590,HRDWRE,3/16 FENDER WASHERS,EA
214-5600,HRDWRE,1/4 FENDER WASHERS,EA
214-5630,HRDWRE,1/4 LOCK WASHERS,EA
214-5635,HRDWRE,5/16 LOCK WASHERS,EA
214-5640,HRDWRE,3/8 LOCK WASHERS,EA
214-5650,HRDWRE,1/2 LOCK WASHERS,EA
214-5660,HRDWRE,5/8 LOCK WASHERS,EA
214-5673,HRDWRE,"7/8"" Flat Washer - SAE",EA
,,,
******,INSTL,INSTALLATION,
800-0130,INSTL,12 SONOTUBE,LF
800-2110,INSTL,"1 3/4""x1 3/4""x10' 14ga perforated post",EA
800-2111,INSTL,"2""x2""x3' 12 ga. perforated sleeve",EA
,,,
******,LAMPS, LAMPS,
306-0880,LAMPS,F18T12CW/HO LAMP,EA
306-0920,LAMPS,F24T12CW/HO LAMP,EA
306-0930,LAMPS,F24T12D/HO LAMP,EA
306-0950,LAMPS,F30T12CWHO,EA
306-0990,LAMPS,F36T12CW/HO LAMP,EA
306-1060,LAMPS,F42T12CW/HO LAMP,EA
306-1070,LAMPS,F42T12D/HO LAMP,EA
306-1080,LAMPS,F48T12CW/HO LAMP,EA
306-1100,LAMPS,F60T12CW/HO LAMP,EA
306-1110,LAMPS,F60T12D/HO LAMP,EA
306-1120,LAMPS,F64T12CW/HO LAMP,EA
306-1140,LAMPS,F72T12CW/HO LAMP,EA
306-1160,LAMPS,F72T12D/HO LAMP,EA
306-1180,LAMPS,F84T12CW/HO LAMP,EA
306-1190,LAMPS,F84T12D/HO LAMP,EA
306-1210,LAMPS,F96T12CW/HO LAMP,EA
306-1250,LAMPS,F108T12CW/HO LAMP,EA
306-1260,LAMPS,F108T12D/HO LAMP,EA
306-1270,LAMPS,F117T12CW/HO LAMP,EA
306-1280,LAMPS,F117T12D/HO LAMP,EA
306-1290,LAMPS,F120T12CW/HO LAMP/VOLTARC,EA
306-1300,LAMPS,F120T12D/HO LAMP,EA
306-1965,LAMPS,MH250 U LAMP,EA
306-1970,LAMPS,MH400 LAMP,EA
,,,
******,MFGSGN,MANUFACTURED SIGN,
221-0191,MFGSGN,CAT SCALE SPEAKER SIGN DOOR GUARD,EA
221-0192,MFGSGN,CAT SCALE SPEAKER SIGN PANEL,EA
,,,
******,NEON,NEON,
309-0110,NEON,12MM REGULAR ELECTRODE CAPS,EA
309-0120,NEON,15MM REGULAR ELECTRODE CAPS,EA
309-0140,NEON,"EC3 12, 13MM BLACK CAPS",EA
309-0683,NEON,15mm Short Stop - Black,EA
309-0770,NEON,1# TIE WIRE,LB
309-1916,NEON,"Westrim Glass Tube Support Aluminum w/ tie wire, silicone-dipped.",EA
309-1990,NEON,QUIK SUPPORT/PLASTIC,EA
,,,
******,PAINT,PAINT,
403-0101,PAINT,Grip Gard Base Coat White 110,OZ
403-0102,PAINT,GRIP Gard Base Coat Mixing Black 160,OZ
403-0103,PAINT,Grip Gard Base Coat High Strength (HS) White 120,OZ
403-0104,PAINT,GRIP Gard Base Coat Deep Black 140,OZ
403-0105,PAINT,Grip Gard Base Coat Assorted Colors,OZ
403-0106,PAINT,Grip Gard Base Coat Metallic Fine 811E,OZ
403-0107,PAINT,Grip Gard Base Coat Metallic Very Coarse 811R,OZ
404-0115,PAINT,Grip Gard Base Coat 90 Binder,OZ
404-0116,PAINT,GRIP GARD base coat binder 10,OZ
404-0195,PAINT,Clear Hardener (Universal) 563553,OZ
404-0196,PAINT,GRIP GARD PL Sup Top Plus 3.5 VOC 397479,OZ
404-0231,PAINT,Clear Gloss (Universal) 571430,OZ
404-0232,PAINT,Low Gloss Clear (Universal) 563426,OZ
404-0295,PAINT,GRIP GARD Base Coat Medium Reducer 391265,OZ
404-0297,PAINT,Grip Gard Surfacer Sealer Hardener GGSURESEALHARDQT 576880,OZ
404-0361,PAINT,Epoxy Hardener Grip-Gard 483100GL,OZ
404-0380,PAINT,White Wash Primer ,OZ
404-0382,PAINT,White Surfacer Sealer GGSURWHITEGL 545807,OZ
404-0390,PAINT,WAX & GREASE REMOVER M600,OZ
405-0145,PAINT,Jet Black Cote All / Rustoleum,OZ
407-0111,PAINT,S-375 aluminum cleaner,OZ
409-0140,PAINT,Lacquer Thinner,OZ
409-0165,PAINT,DuPont 3812/ACETONE,OZ
409-0230,PAINT,A-5055 THINNER (Green Barrel),OZ
,,,
******,TRANSF,TRANSFORMERS,
312-0100,TRANSF,TRANSFORMER BOXES,EA
312-0240,TRANSF,4000/60 SMART SERIES TRANS,EA
312-0260,TRANSF,4030P5G2 SMART SGFI NPF TRANS,EA
312-0350,TRANSF,5000/30 P5G2 SM SGFI NPF 30MA TRAN,EA
312-0650,TRANSF,9000/30 P5G2UE  TRAN,EA
312-0950,TRANSF,15000/30 P5G-2UE FRANCE TRAN,EA
312-1000,TRANSF,15060 P5G-2UE SERVICE MASTER TRAN,EA
312-1159,TRANSF,VT6030 CL120 Ventex Transformer,EA
312-1165,TRANSF,6030-120 TRAN Indoor Neon Pull-Chain,EA
312-1170,TRANSF,VT9030CL-120 CHANNEL LETTER TRAN,EA
312-1175,TRANSF,VT12030CL-120 CHANNEL LETTER TRANSFORMER,EA
312-1180,TRANSF,VT9030-120 INDOOR TRANSFORMER W/ PULL CHAIN,EA
312-1185,TRANSF,VT12030-120 INDOOR TRANSFORMER W/ PULL CHAIN,EA
,,,
******,VGRPH,VINYL GRAPHICS,
512-0190,VGRPH,Tri Foam Decal,EA
,,,
******,VHRDWE,VINYL HARDWARE,
511-0100,VHRDWE,"1"" 4949 VHB tape S-10146",LF
511-0105,VHRDWE,"3M™ 1/2"" 4910 Clear VHB tape",LF
511-0110,VHRDWE,"1"" 3M VHB ALL-PURPOSE TAPE - WHITE 4930",LF
511-0120,VHRDWE,"1/2"" 4930 VHB t ape S-10126",LF
511-0170,VHRDWE,12 X 18 X .080 ALUMINUM BLANKS,EA
511-0200,VHRDWE,12X18 HANIDICAP PARK STATE PER,EA
511-0270,VHRDWE,18 X 24 X .080 WHITE ALUM,EA
511-0500,VHRDWE,24 X 18 WHT CRPLST GOLF CART,EA
511-0620,VHRDWE,MAGNETIC SHEET .030,SF
,,,
******,VINYL,VINYL,
506-0130,VINYL,48 1772 YELLOW PAINT MASK,SF
506-0245,VINYL,"Oracal oralite 5600 brown 24""",SF
,,,
******,VREFL,REFLECTIVE VINYLS,
507-0110,VREFL,BLACK REF SCOTCHLITE,SF
507-0135,VREFL,Blue ElectroCut Film 3M 1175,SF
507-0160,VREFL,BLUE 680-75 SCOTCHLITE,SF
507-0230,VREFL,GREEN 680-77 SCOTCHLITE PLUS,SF
507-0290,VREFL,ORANGE REF SCOTCHLITE,SF
507-0345,VREFL,RED 24 REFLECTIVE VINYL Avery V4000-450,SF
507-0415,VREFL,WHITE REFLECTIVE VINYL V4000-101 24”,SF
507-0425,VREFL,"White 4090 DG3 Refl sheeting 11 48""",SF
507-0426,VREFL,"White 3930 High Intensity Prismatic (HIP) 48"" x 50yd roll",SF
507-0430,VREFL,WHITE SCOTCHLITE PLUS 680-10,SF
507-0455,VREFL,YELLOW 24 REFLECTIVE VINYL Avery V4000-250,SF
507-0485,VREFL,YELLOW REF SCOTCHLIT 680-71,SF
,,,
******,VSCTCL,SCOTCHCAL VINYLS,
508-0130,VSCTCL,BEIGE (7725-49) SCOTCHCAL 24,SF
508-0200,VSCTCL,BEIGE SCOTCHCAL 48,SF
508-0230,VSCTCL,"BLACK 7725-12 VINYL 30""",SF
508-0330,VSCTCL,"BLACK GLOSS 3M 7725-12 48""",SF
508-0660,VSCTCL,BLUE LIGHT NAVY SCOTCHCAL 30,SF
508-0670,VSCTCL,BLUE LIGHT NAVY SCOTCHCAL 48,SF
508-0740,VSCTCL,BLUE OLYMPIC SCOTCHCAL 24,SF
508-0880,VSCTCL,BLUE SAPPHIRE SCOTCHCAL 48,SF
508-0990,VSCTCL,BLUE VIVID SCOTCHCAL 48,SF
508-1090,VSCTCL,"BROWN RUSSET H.P. VINYL 48""",LF
508-1240,VSCTCL,CHROME MATERIAL 24,SF
508-1370,VSCTCL,"7725-314 DUSTED CRYSTAL VINYL 48""",SF
508-1405,VSCTCL,"#7725-324 FROSTED CRYSTAL VINYL 48""",SF
508-1410,VSCTCL,DARK AQUA VINYL 30,SF
508-1575,VSCTCL,"Harvest Gold 48"" 3M 7725-105",SF
508-1750,VSCTCL,GRAY MEDIUM SCOTCHCAL 48,SF
508-1755,VSCTCL,"Mid Grey 7725-61 48""",SF
508-1790,VSCTCL,GREEN BTLE SCOTCH 48 7725-276,SF
508-1870,VSCTCL,GREEN BRIGHT SCOTCHCAL 48,SF
508-1990,VSCTCL,GREEN FRST 7725-66 SCOTCHCAL48,SF
508-2070,VSCTCL,GREEN KEL(7725-46) SCOTCH 48,SF
508-2390,VSCTCL,MAHOGANY SCOTCHCAL MAT'RL 48,SF
508-2470,VSCTCL,ORANGE BRIGHT SCOTCHCAL 48,SF
508-2530,VSCTCL,ORANGE LIGHT 30 SCOTCHCAL,SF
508-2610,VSCTCL,PEACOCK SCOTCHCAL 24,SF
508-2740,VSCTCL,PURPLE VINYL 48,SF
508-2750,VSCTCL,"PUTTY OPAQUE 7725-59 48"" ",SF
508-2985,VSCTCL,GERANIUM 180MC-63-4810,SF
508-3060,VSCTCL,RED PERFECT MATCH VINYL 48,SF
508-3140,VSCTCL,RED TOMATOSCOTCHCAL 48,SF
508-3370,VSCTCL,TAN H.P. VINYL 30,SF
508-3590,VSCTCL,"WHITE ANTIQUE VINYL 7725-90 48""",SF
508-3620,VSCTCL,WHITE CONTROLTAC 160-80,SF
508-3690,VSCTCL,"7725-10 WHITE OPAQUE 48""",SF
508-3695,VSCTCL,"WHITE CONTROLTAC 180MC-10-4810 48""",SF
508-3720,VSCTCL,YELLOW BRIGHT SCOTCHC 48,SF
,,,
******,VTRANS,TRANSLUCENT VINYL,
508-3557,VTRANS,"Oracal GLOSS BLACK VINYL 48"" 951 premium cast film",SF
510-0110,VTRANS,BLACK TRANS 3630-22 VINYL 48,SF
510-0115,VTRANS,"Black 1178 Electrocut overlay 48""",SF
510-0140,VTRANS,BLUE 3630-36 TRANS VINYL 48,SF
510-0160,VTRANS,BLUE BRISTOL TRANS VINYL 48,SF
510-0230,VTRANS,BLUE EVENING TRANS VINYL 48,SF
510-0240,VTRANS,BLUE INT TRANS SCOTCH 48,SF
510-0260,VTRANS,BLUE OLYMPIC TRANS SCOTHCAL 48,SF
510-0270,VTRANS,BLUE PROCESS TRANS SCOTCH 48,SF
510-0280,VTRANS,BLUE ROYAL TRANS SCOTCHCAL 48,SF
510-0300,VTRANS,BLUE SULTAN TRANS S'CAL 48,SF
510-0321,VTRANS,BRIGHT BLUE 3630-167 TRANS VINYL 48,SF
510-0322,VTRANS,BRIGHT Violet  3630-158 TRANS VINYL 48,SF
510-0330,VTRANS,BRONZE DURANODIC TRAN 48,SF
510-0350,VTRANS,BROWN DARK TRANS 3630-59 48,SF
510-0410,VTRANS,BROWN RUST TRANS 3630-63 48,SF
510-0450,VTRANS,"BURGUNDY TRAN 3630-49 48""",SF
510-0560,VTRANS,GOLD METALLIC TRAN VINYL 48,SF
510-0590,VTRANS,GOLD NUGGET TRAN VINYL 48,SF
510-0630,VTRANS,GREEN BRILLIANT TRAN 48,SF
510-0640,VTRANS,GREEN DK EMRLD TR 3630-126 48,SF
510-0645,VTRANS,"Green 1177 Electrocut overlay 48""",SF
510-0660,VTRANS,GREEN HOLLY TRANS VINYL 48,SF
510-0720,VTRANS,GREEN LT KELLY TR 3630-146 48,SF
510-0750,VTRANS,GREEN TEAL TRANS VINYL 48,SF
510-0760,VTRANS,GREEN TRANS VINYL 48 3630-26,SF
510-0800,VTRANS,GREEN VIVID TRANS VINYL 48,SF
510-0875,VTRANS,"Day/Night Smoke Grey 48"" 3635-91",SF
510-0876,VTRANS,"Dual Color Black 48"" 3635-222",SF
510-0890,VTRANS,IVORY TRANS SCOTCHCAL 48,SF
510-0955,VTRANS,"Poppy Orange 48"" trans 3M 3630-144",SF
510-0960,VTRANS,MAGENTA INTENSE TRANS 48,SF
510-0990,VTRANS,MARIGOLD TRAN SCOTCHCAL 48,SF
510-1050,VTRANS,"ORANGE TRANS 3630-44 SCOTCHCAL 48""",SF
510-1150,VTRANS,PLUM PURPLE TRANS VINYL 3630-128 48,SF
510-1185,VTRANS,RASPBERRY TRANS VINYL HP 48,SF
510-1190,VTRANS,3630-33 RED TRANS VINYL,SF
510-1195,VTRANS,"Red 1172 Electrocut overlay 24""",SF
510-1260,VTRANS,RED DK TRAN 3630-73 SCOTL 48,SF
510-1300,VTRANS,RED LIGHT TOMATO TRAN 48,SF
510-1320,VTRANS,RED POPPY TRAN SCOTCHCAL 48,SF
510-1340,VTRANS,RED REGAL TRAN SCOTCHCAL 48,SF
510-1350,VTRANS,RED SCARLET TRAN VINYL 30,SF
510-1410,VTRANS,ROSE MAUVE TRAN SCOTCHCL 48,SF
510-1470,VTRANS,SILVER GREY TRAN VINYL 48,SF
510-1510,VTRANS,SILVER TRAN VINYL 48,SF
510-1540,VTRANS,SUNFLOWER TRANS 3630-25 VINYL,SF
510-1570,VTRANS,TANGERINE TRAN SCOTCHCAL 48,SF
510-1590,VTRANS,TEAL TRAN VINYL 48,SF
510-1650,VTRANS,TURQUOISE TRANS. 3630-236 48,SF
510-1840,VTRANS,"WHITE DIFFUSER VINYL FILM 40% 3635-30 48""",SF
510-1860,VTRANS,WHITE TRANSLUCENT #3630-20 ,SF
510-1890,VTRANS,YELLOW GOLD 3630-125 TRANS 48,SF
510-1895,VTRANS,Light Lemon Yellow 3630-115 TRANS 48,SF
510-1905,VTRANS,"Yellow 1171 Electrocut overlay 48""",SF
510-1930,VTRANS,YELLOW TRAN SCOTCHC 48,SF
