Part Number,Short Description,Inventory Type,Inventory UOM,Purchase UOM,On Hand,Unit Cost,List Price,Accounting Cost,User 1 Cost,User 2 Cost,Last Actual Cost,Average Cost
201-0100,406/19 LORD PAK ADHESIVE,FADHES,TUBE,TUBE,-1,74.07,129.6225,74.07,26.435,0,74.07,74.07
201-0112,Lord Adhesive 7550,FADHES,TUBE,TUBE,2,29.85,52.2375,29.85,12.2,0,29.85,22.24
201-0130,3M ADHESIVE REMOVER #08984,FADHES,OZ,QT,45,0.47594,0.8329,0.4759,0.26,0,0.4759,0.2746
201-0170,BROWN CAULKING,FADHES,TUBE,TUBE,-2,2.47,4.32,2.47,2.47,0,0,0
201-0180,NP-I DARK BRONZE CAULKING,FADHES,TUBE,TUBE,-40,3.3275,5.82,3.3275,3.3275,0,0,0
201-0190,GRAY CAULKING,FADHES,TUBE,TUBE,-40,3.5933,6.45,3.5933,3.5933,0,0,0
201-0275,40 YR SILICONE ACRYLIC LATEX WHITE CAULK ,FADHES,TUBE,TUBE,36,1.5624,2.7342,1.5624,1.39,0,3.1012,3.3036
201-0280,25 YR WHITE CAULKING,FADHES,TUBE,TUBE,-1,2.2388,9.34,2.2388,2.2388,0,1.2928,1.9191
201-0285,#3 WELD ON PLASTIC CEMENT,FADHES,OZ,GL,512,0.96234,1.6841,0.9623,0.27,0,0.6185,0.9228
201-0290,#16 WELD ON PLASTIC CEMENT ,FADHES,OZ,GL,212,0.70492,1.23361,0.7049,2.5125,0,0.7312,0.7049
201-0294,#58 WELD ON PLASTIC CEMENT ,FADHES,OZ,OZ,-8,0.70492,1.2336,0.7049,0,0,0,0
201-0330,SCS1001 GE CLEAR SILICONE,FADHES,TUBE,TUBE,27,2.9808,8.22,2.9808,2.9808,0,8.6456,18.0389
201-0340,81911 CLEAR SILICONE,FADHES,TUBE,TUBE,-90,3.7983,8.66,3.7983,3.7983,0,9.6086,9.6083
202-0100,"3"" ALUMINUM GUSSETS",FALEXT,EA,EA,12,2.0679,3.61883,2.0679,1.4,0,0.8839,0
202-0140,TYPE II BACK ADAPTER - 26',FALEXT,FT,PC,76,0.69,1.3125,0.69,0.69,0,1.09,0.69
202-0150,BLEED TRIM ABC Extr.- 26',FALEXT,FT,PC,-28,1.04,2.03,1.04,0.65,0,1.9231,1.04
202-0160,ABC CONE CUPS,FALEXT,EA,EA,-6,1.4,2.45,1.4,1.4,0,0,0
202-0185,"1-1/2"" CONVENTIONAL DIVIDER BAR - 26'",FALEXT,LF,PC,167,2.26,3.955,2.26,0,0,2.09,2.2482
202-0190,"1-3/4"" SMALL DIVIDER BAR - 26'",FALEXT,FT,PC,222,2.81,4.9175,2.81,2.36,0,4.6826,2.6608
202-0220,ABC FLEXIBLE FACE TENSIONERS - 500/BOX,FALEXT,EA,BX,3134,0.991,1.925,0.991,0.75,0,0.9117,1.0135
202-0250,TYPE IV END FRAME ABC- 26',FALEXT,FT,PC,116,2.31,4.445,2.31,1.97,0,2.52,2.31
202-0270,"LARGE ""A"" BLEEDFRAME ABC- 26'",FALEXT,FT,PC,26,11.7,22.7675,11.7,8.17,0,11.79,11.7
202-0340,THRIF-T FRAME,FALEXT,FT,PC,276,5.15,9.0125,5.15,3.31,0,4.86,4.4247
202-0350,"12"" CONVENTIONAL FRAME - 26'",FALEXT,FT,PC,126,10.71,18.7425,10.71,5.97,0,10.02,9.0232
202-0360,TYPE I FRAME (10)- 26',FALEXT,FT,PC,261,7.15,12.5125,7.15,4.95,0,7.15,6.9672
202-0370,TYPE II FRAME - 26',FALEXT,FT,PC,260,6.54,11.445,6.54,4.17,0,6.54,4.5
202-0380,TYPE I WIDE FAB FRAME (EI) - 26',FALEXT,FT,PC,504,3.21,5.6175,3.21,1.464,0,3,2.689
202-0385,Type III End Frame - 26',FALEXT,FT,PC,114,4.97,8.6975,4.97,2.6,0,4.97,3.41
202-0387,Type III Unit Frame - 26',FALEXT,FT,PC,104,6.38,11.165,6.38,3.35,0,6.38,4.4
202-0390,TYPE IV UNIT FRAME - 26',FALEXT,FT,PC,137,4.54,7.945,4.54,2.66,0,6.6292,4.198
202-0420,"1/8"" X 1/2"" X 50' GASKET TAPE ",FALEXT,FT,FT,2324,0.1,1.6275,0.1,0.12,0,0.1264,0.1014
202-0425,"1/8"" X 1 1/2""  GASKET TAPE ",FALEXT,FT,RL,2250,0.26,0.455,0.26,0,0,0.4407,0.3864
202-0431,"LARGE ""A"" Z-BRACKET",FALEXT,EA,EA,69,3.95,6.9125,3.95,3.95,0,5.39,3.95
202-0490,KEYED BARREL CAM LOCKS/ABC,FALEXT,EA,EA,4,9.25,16.1875,9.25,8.5,0,11,9.242
202-0500,"8"" ANGLE IRON BRACKETS - LAF IRONS",FALEXT,EA,EA,13,5.5371,9.68991,5.5371,2.04,0,4.515,0
202-0510,"LARGE ""A"" FLEXFRAME - 26'",FALEXT,FT,PC,1464,11.72,21.35,11.72,8.29,0,11.72,11.7234
202-0530,"LARGE ""A"" BACK ADAPTER - 26'",FALEXT,FT,PC,119,1.4,2.7125,1.4,1.33,0,0,0
202-0540,C-COVER CORNER FLASHING - L/A SCABS,FALEXT,EA,EA,-10,1.17,2.05,1.17,1.17,0,1.1371,0
202-0560,"LARGE ""A"" SPREADER BARS (Frame Support)",FALEXT,EA,EA,49,1.5872,2.77751,1.5872,0.58,0,1.3775,0
202-0570,"LG ""A"" BLEEDFRAME COVER ABC 26'",FALEXT,FT,PC,26,5.01,9.7475,5.01,3.49,0,5.05,5.01
202-0580,"LARGE ""A"" C-COVER ABC- 26'",FALEXT,FT,PC,2096,4.99,9.52,4.99,3.53,0,4.99,5.0074
202-0610,"2-1/2"" FLAT RETAINER ABC- 26'",FALEXT,FT,PC,2913,2.15,3.7625,2.15,1.46,0,2.07,2.15
202-0620,TYPE III FLAT RETAINER ABC,FALEXT,FT,FT,588,1,1.855,1,0.68,0,1,1.0376
202-0680,2 TYPE I FLAT RETAINER - 26',FALEXT,LF,PC,639,1.58,2.765,1.58,1.02,0,1.47,1.5799
202-0690,2 LG E-Z RETAINER - 26',FALEXT,LF,PC,84,2.01,3.5175,2.01,1.3,0,1.88,1.8684
202-0710,TYPE IV RETAINER - 26',FALEXT,LF,PC,239,0.71,1.2425,0.71,0.43,0,0.71,0.5
202-0820,"SMALL ""A"" FLEX COVER ABC- 26'",FALEXT,FT,PC,40,1.72,3.01,1.72,1.63,0,4.2792,1.6894
202-0830,"SMALL ""A"" FLEX FRAME ABC- 26'",FALEXT,FT,PC,26,7.06,12.355,7.06,6.7,0,12.0492,6.974
202-0860,"SMALL ""A"" SPREADER BARS",FALEXT,EA,EA,-40,0.22,0.39,0.22,0.22,0,0,0
202-0861,Post & Panel Retainer,FALEXT,EA,PC,11,0.48,0.84,0.48,0,0,0.53,0.48
202-0864,"3 1/4"" half round post - 25' pieces",FALEXT,LF,PC,52,4.49,7.8575,4.49,0,0,4.84,3.37
202-0865,"5"" Half Round Post ABC part #1004-RDP",FALEXT,LF,LF,6,6.47,11.3225,6.47,0,0,6.7308,5.83
202-0866,"1"" Reveal - Post & Panel ABC part #1040-R1",FALEXT,LF,LF,42,2.25,3.9375,2.25,0,0,2.4039,1.7741
202-0867,Post & Panel Mono Frame - 25' pieces,FALEXT,LF,PC,67,3.61,6.3175,3.61,0,0,3.9,3.61
202-0868,Post & Panel end frame - 25' pieces,FALEXT,LF,PC,20,2.61,4.5675,2.61,0,0,2.82,2.61
202-0920,LARGE BLEED TRIM ABC- 26',FALEXT,FT,PC,26,0.98,1.89,0.98,0.68,0,0.98,0.98
202-0941,"1 3/8"" H-style Divider Bar",FALEXT,FT,PC,206,3.01,5.2675,3.01,0,0,2.5151,2.901
202-1110,AWNING TRIM CAP - MILLIKEN 350' per box,FAWN,FT,FT,1914,0.6772,1.421,0.6772,0.2011,0,0.7789,0.449
202-1120,"1"" X 1"" STANDARD WALL W/DBL 1"" FLANGES - 24'",FAWN,FT,PC,58,1.0498,1.3,1.0498,1.0498,0,1.546,1.0498
202-1130,MI-6 AWNING Z CLIPS,FAWN,EA,EA,200,0.95,1.6625,0.95,0.8693,0,0.8927,0.9489
202-1140,"MP1A 1"" X 1"" STD WALL STAPLE-IN - 24'",FAWN,FT,PC,220,1.1586,2.02755,1.1586,1.1679,0,1.1604,1.1586
202-1160,"MP2B 1"" X 1"" STD. WALL/1FLNG STPLN",FAWN,FT,PC,283,1.236,1.51,1.236,1.236,0,1.4583,1.236
202-1170,GALVANIZED STAPLES,FAWN,EA,BX,8300,0.00451,0.02,0.0045,0.003,0,0.0025,0.0045
202-1235,EXCELLART MC RETAINER - H STYLE,FALEXT,FT,PC,82,2.49838,4.37217,2.4984,0,0,1.3698,2.2392
202-1261,Raceway Spreader LC5972N-8,FALEXT,EA,EA,602,1.77,3.0975,1.77,0,0,1.73,1.77
202-1263,"LCB1970N narrow 5"" channel letter raceway and cover",FALEXT,FT,EA,312,11.5225,20.1644,11.5225,0,0,12.6217,12.937
202-1265,"7"" EXCELLART CHANNEL LETTER RACEWAY - 13' ",FALEXT,FT,PC,109,9.21,17.4475,9.21,9.56,0,19.2308,19.2308
202-1266,"Excellart 7"" RACEWAY ENDCAP ",FALEXT,EA,EA,53,10.97,19.1975,10.97,0,0,10.97,10.97
202-1267,"Excellart 2"" mounting bracket",FALEXT,EA,EA,106,1.98,3.465,1.98,0,0,1.98,1.98
202-1270,RACEWAY SPREADER BARS,FALEXT,EA,EA,-16,2.69,4.71,2.69,2.69,0,0,0
202-1295,"7"" EXCELLART CHANNEL LETTER RACEWAY COVER 13'",FALEXT,FT,PC,109,2.26,4.2875,2.26,2.35,0,11.4815,11.4815
202-1310,MOUNTING CLIPS,FALEXT,EA,EA,-1,1.71,2.9925,1.71,0.37,0,1.71,1.53
202-1320,"5"" X 7"" HAND HOLE COVER",FALEXT,EA,EA,-25,1.8713,3.27469,1.8713,0.58,0,0.9794,0
202-1330,"6"" X 7"" X .032"" HAND HOLE COVER",FALEXT,EA,EA,-78,1.5653,2.73919,1.5653,0.43,0,1.6974,0
202-1400,Large Channel Extrusion 10',FALEXT,FT,PC,5,17.6745,30.93038,17.6745,0,0,17.6745,17.6745
203-0110,"1"" X 1"" X 3/16"" ALUM ANGLE - 25'",FALUM,FT,PC,168,1.38,2.415,1.38,0.8308,0,1.38,0.8308
203-0130,"1-1/2"" X 1-1/2"" X 3/16"" ALUM ANGLE ",FALUM,LF,LF,45,2.21,3.8675,2.21,1.3896,0,2.21,1.3896
203-0140,"2"" X 2"" X 1/8"" ALUM ANGLE - 25'",FALUM,FT,PC,2,1.7568,3.0744,1.7568,1.2938,0,1.7568,1.2938
203-0150,"2"" X 2"" X 3/16"" ALUM ANGLE - 25'",FALUM,FT,PC,750,2.8476,6.5744,2.8476,1.9596,0,2.8476,2.8874
203-0160,"2"" X 2"" X 1/4"" ALUM ANGLE - 25'",FALUM,FT,PC,163,3.7188,6.5079,3.7188,1.4763,0,3.7188,2.28
203-0215,"3"" X 4"" X 1/4"" ALUM ANGLE - 25'",FALUM,FT,PC,25,7.3,12.775,7.3,0,0,7.3,3.8612
203-0260,"3/8"" ROUND ALUM ROD - 12'",FALUM,FT,PC,-6,0.4667,0.82,0.4667,0.4667,0,0.3142,0.4667
203-0298,"3/4"" X 1.5"" x .125"" rectangle ALUM TUBE - 21'-1""",FALUM,FT,PC,44,4.7154,8.25195,4.7154,0,0,4.6804,4.2831
203-0310,"1"" X 1"" X 1/8"" ALUM TUBE ",FALUM,LF,LF,591,1.86295,4.17162,1.863,0.85,0,1.863,1.8667
203-0320,"1-1/4"" X 1-1/4"" X 1/8"" ALUM TUBE  21'1""",FALUM,FT,PC,129,2.10619,3.68583,2.1062,1.1935,0,2.3824,2.0209
203-0330,"1-1/2"" X 1-1/2"" X 1/8"" ALUM TUBE  21'1""",FALUM,FT,PC,184,5.998,10.4965,5.998,1.9561,0,2.8427,1.9638
203-0340,"2"" X 1"" X 1/8"" ALUM TUBE ",FALUM,FT,FT,13,2.35437,4.12015,2.3544,2.0142,0,2.3593,2.0786
203-0360,"2"" X 2"" X 1/8"" ALUM TUBE ",FALUM,LF,LF,26,3.66,8.54067,3.66,2.6727,0,3.6645,4.8804
203-0365,"2"" X 3"" X 1/8"" ALUMINUM TUBE - 21' 1""",FALUM,FT,PC,62,5.17476,9.05583,5.1748,0,0,5.04,4.7796
203-0375,"2"" X 2"" X 1/4"" ALUMINUM TUBE - 25'",FALUM,LF,EA,80,4.7315,8.28013,4.7315,0,0,4.5408,4.7315
203-0430,"3"" X 3"" X 1/8"" ALUM TUBE",FALUM,LF,LF,25,5.58214,9.76875,5.5821,3.1319,0,5.6024,5.5627
203-0495,"1/4"" X 12"" ALUMINUM FLAT - 12'",FALUM,FT,PC,-2,7.95833,21.875,7.9583,12.5,0,8.1275,7.9583
203-0500,"1/4"" X 2"" ALUM FLAT ",FALUM,LF,LF,182,2.14,4.55,2.14,1.44,0,2.04,2.1402
203-0510,"1/4"" X 3"" ALUM FLAT ",FALUM,LF,LF,-38,2.2825,3.99438,2.2825,1.97,0,3.17,2.2825
204-0141,".090"" ALUM SHEET 5052",FALUM,SF,SF,40,4.28,7.7875,4.28,1.3312,0,4.28,4.3634
204-0144,.100 5052 aluminum no sheet size,FALUM,SF,SF,102,4.86,9.52,4.86,0,0,4.86,4.7524
204-0151,".125"" ALUM SHEET - 4' X 10'",FALUM,SF,SH,-6,3.7406,6.29,3.7406,3.7406,0,4.5773,3.7406
204-0155,.125 ALUMINUM 5052,FALUM,SF,SF,-213,7.23,12.6525,7.23,0,0,7.23,6.8744
204-0162,".250"" ALUM SHEET 5052 -no sheet size-sq. ft.",FALUM,SF,SF,54,11.33,19.8275,11.33,6.0206,0,11.33,9.2038
204-0183,".500"" ALUM SHEET - 4' X 12'",FALUM,SF,SH,120,25.53,44.6775,25.53,15.625,0,25.53,15.625
205-0111,".040"" BLACK/WHITE ALUM VM ",FALUM,SF,SF,185,2.9425,5.14938,2.9425,1.43,0,2.2408,2.9425
205-0113,.040 Ivy Green/White aluminum,FALUM,SF,SF,248,1.27031,2.223,1.2703,0,0,1.7,27.9827
205-0180,".040"" WHITE/WHITE ALUMINUM ",FALUM,SF,SF,982,2.36,4.13,2.36,1.3843,0,1.925,2.5555
205-0181,".040"" WHITE ALUM W/PVC COATING",FALUM,SF,SF,-110,2.6,4.55,2.6,1.3838,0,0,0
205-0201,".050"" WHITE/MILL ALUM 5052 ",FALUM,SF,SF,196,3.28708,5.75239,3.2871,1.76,0,2.9502,2.5964
205-0211,".063"" WHITE/WHITE ALUM ",FALUM,SF,SF,615,3.14,8.42286,3.14,2.1088,0,3.14,3.5155
205-0212,".063"" Texaco Red/WHITE ALUM ",FALUM,SF,SF,440,5.18852,9.07991,5.1885,0,0,5.1885,4.57
205-0221,".063"" MILL ALUMINUM 5052 ",FALUM,SF,SF,210,2.6,4.55,2.6,2.19,0,3.1,2.6
205-0253,".080"" WHITE/WHITE 4x10 sheets",FALUM,SF,SH,-298,6.499,11.37325,6.499,0,0,6.4999,2.41
205-0256,".080"" ALUMINUM 5052",FALUM,SF,SF,596,3.97,6.9475,3.97,2.3458,0,3.41,3.8379
206-0100,3MM White/White Maxmetal Lite,FALUM,SF,SF,64,1.10781,1.93867,1.1078,3.0762,0,1.6097,1.1078
206-0110,6MM white/white maxmetal 6mm,FALUM,SF,SF,-92,2.5768,4.5094,2.5768,2.3985,0,2.8906,2.5769
206-0160,3MM WHITE 1S D-LITE  - 4' X 8',FALUM,SF,SH,72,3.6378,6.36615,3.6378,2.357,0,4.2159,3.6378
206-0221,6MM WHITE 2S ALUMALITE - 4' X 10',FALUM,SF,SH,-40,2.5103,4.39,2.5103,2.5103,0,0,0
208-0101,"1"" BLACK JEWELITE TRIMCAP - 150'/RL",FCHANN,LF,RL,-268,0.33333,0.58333,0.3333,0.3276,0,0.3331,0.444
208-0110,"2"" BLACK JEWELITE TRIMCAP - 10'",FCHANN,LF,PC,2,0.852,1.491,0.852,0.6048,0,0.931,0.8187
208-0121,"1"" BLUE JEWELITE TRIMCAP - 150'",FCHANN,LF,RL,11,0.43367,0.75892,0.4337,0.3276,0,0.4843,0.4337
208-0125,"1"" LIGHT BLUE JEWELITE TRIMCAP - 10'",FCHANN,FT,PC,75,0.3276,0.5733,0.3276,0,0,6.379,0
208-0130,"2"" BLUE JEWELITE TRIMCAP - 10'",FCHANN,LF,PC,30,0.6048,1.33,0.6048,0.6048,0,0.8516,0.6048
208-0141,"1"" BRONZE JEWELITE TRIMCAP - 150'/RL",FCHANN,LF,RL,190,0.5386,0.94255,0.5386,0.3276,0,0.5386,0.4333
208-0150,"2"" BRONZE JEWELITE TRIMCAP 100' roll",FCHANN,LF,RL,25,0.8169,1.43,0.8169,0.8169,0,0.6541,0.8169
208-0185,"1"" CHROME JEWELITE TRIMCAP - 150'/RL",FCHANN,LF,RL,200,0.38267,0.6697,0.3827,0,0,0.4029,0.3827
208-0191,"1"" BRUSHED CHROME JEWELITE TRIMCAP - 150'/RL",FCHANN,LF,RL,42,0.464,0.812,0.464,0.3276,0,0.464,0.4045
208-0211,"1"" GOLD JEWELITE TRIMCAP - 150'/RL",FCHANN,LF,RL,23,0.45033,0.78808,0.4503,0.353,0,0.4117,0.4503
208-0214,"1"" GREY TRANSCO JEWELITE TRIMCAP - 10'",FCHANN,FT,PC,189,0.29413,,0.2941,0.2941,0,0,0
208-0220,"2"" GOLD JEWELITE TRIMCAP - 10'",FCHANN,LF,PC,50,0.6174,0.99,0.6174,0.6174,0,0,0
208-0231,"1"" GREEN JEWELITE TRIMCAP - 150'/RL",FCHANN,LF,RL,414,0.44,0.77,0.44,0.3276,0,0.4091,0.44
208-0235,"1"" HUNTER GREEN #2162 GEMTRIM TRIMCAP - 150'/RL",FCHANN,LF,RL,281,0.49349,0.86361,0.4935,0.4935,0,0.5435,0.4912
208-0240,"2"" GREEN JEWELITE TRIMCAP - 10'",FCHANN,LF,PC,196,0.605,1.06,0.605,0.605,0,0,0
208-0251,"1"" IVORY JEWELITE TRIMCAP - 150'/RL",FCHANN,LF,RL,118,0.3528,0.62,0.3528,0.3528,0,0.4163,0.3528
208-0261,"1"" ORANGE JEWELITE TRIMCAP - 150'/RL",FCHANN,LF,RL,85,0.1667,0.29,0.1667,0.1667,0,0.4292,0.1471
208-0265,"1"" PURPLE #2287 GEMTRIM TRIMCAP - 150'/RL",FCHANN,FT,RL,90,0.312,0.546,0.312,0.288,0,0.4573,0.312
208-0271,"1"" RED JEWELITE TRIMCAP - 150'/RL",FCHANN,LF,RL,129,0.44,0.77,0.44,0.3276,0,0.3331,0.44
208-0280,"2"" RED JEWELITE TRIMCAP - 10'",FCHANN,LF,PC,20,0.6048,1.06,0.6048,0.6048,0,0.8522,0.4965
208-0291,1 SILVER JEWELITE TRIM,FCHANN,LF,RL,-186,0.4122,0.72135,0.4122,0.3125,0,0.4386,0.4122
208-0295,"3/4"" WHITE JEWELITE TRIM",FCHANN,LF,RL,285,0.43,0.7525,0.43,0,0,0.3066,0.43
208-0300,1 WHITE JEWELITE TRIM,FCHANN,LF,PC,-50,0.3276,0.57,0.3276,0.3276,0,0,0
208-0301,1 WHITE JEWELITE TRIM,FCHANN,LF,RL,44,0.43,0.7525,0.43,0.3276,0,0.3431,0.43
208-0305,1 YELLOW JEWELITE TRIM,FCHANN,FT,RL,100,0.56,0.98,0.56,0.56,0,0.4843,0.56
208-0310,2 WHITE JEWELITE TRIM,FCHANN,LF,PC,24,0.6048,1.06,0.6048,0.6048,0,0.8033,0.5619
208-0320,1-1/2 X .063 COIL STOCK,FCHANN,LF,LF,178,0.33,0.58,0.33,0.33,0,172,0
208-0345,3.3 x .040 Mil3 Finish Letter Coil,FCHANN,LF,RL,28,0.87626,1.53346,0.8763,0,0,0.8823,0.8573
208-0350,3 X .063 MILL FINISH COIL,FCHANN,LF,LF,78,0.61,1.07,0.61,0.61,0,0.5693,0.61
208-0360,3 X .063 MILL LETTER COIL,FCHANN,LF,RL,-8,1.27593,2.23288,1.2759,0.854,0,1.2759,1.1917
208-0380,5 X .063 MILL FINISH COIL,FCHANN,LF,RL,270,1.26396,2.61,1.264,1.49,0,1.264,0.8054
208-0395,5.3 X .040 BLACK/WHITE COIL,FCHANN,FT,RL,-92,0.70456,1.33978,0.7046,0.6936,0,1.286,1.2618
208-0396,"3.5"" X .040 BLACK/WHITE COIL",FCHANN,FT,RL,102,0.6839,1.90783,0.6839,0,0,0.6037,0.6839
208-0400,5.3 X .040 BRUSHED ALUM COIL,FCHANN,LF,RL,130,2.93007,5.12762,2.9301,1.62,0,2.9301,1.62
208-0420,5.3 BLACK/WHITE LETTER COIL,FCHANN,LF,RL,20,0.6937,1.21398,0.6937,0.6726,0,0.556,0.6937
208-0436,"3.5"" white channel letter coil",FCHANN,LF,RL,646,1.15019,2.01283,1.1502,0,0,1.0788,1.1502
208-0465,5.3 X .063 Texaco Red/WHITE COIL,FCHANN,LF,RL,15,0.80329,1.4058,0.8033,0,0,1.0926,0.8033
208-0470,5.3 RED/WHITE LETTER COIL,FCHANN,LF,RL,80,0.8774,1.24,0.8774,0.8774,0,0.7525,0.8771
208-0510,8 X .063 MILL FINISH COIL,FCHANN,LF,RL,270,1.52,2.66,1.52,1.52,0,0,0
209-0145,CBL16 INTENSE BLUE COOLEY BRITE,FFABRC,SF,LYD,76,3.2015,5.6026,3.2015,0,0,2.6826,3.2015
209-0360,"WHITE COOLEY BRITE 6'6""",FFABRC,SF,LYD,226,1.33,,1.33,0.966,0,1.3868,1.333
209-0380,Cooley Brite II / 2037 Yellow,FFABRC,SF,RL,1543,3.3291,5.82593,3.3291,1.68,0,3.3288,3.3285
209-0420,COOLEY MAGIC/REMOVER,FFABRC,OZ,GL,200,0.595,1.04125,0.595,0.28,0,0.5202,0.5189
209-0460,FLEX FACE CLIPS,FFABRC,EA,EA,344,1.57,2.7475,1.57,1.3288,0,1.01,1.57
209-0467,"3M Panaflex 945GPS White 80"" x 50yd. rolls",FFABRC,SF,RL,812,1.79,3.1325,1.79,0,0,1.904,1.79
210-0180,CAT SCALE GUARANTEE FACE,FFACE,EA,EA,76,55.0406,96.32098,55.0406,27.9783,0,56.7557,22.2642
210-0190,CAT SCALE INSTRUCTION FACE,FFACE,EA,EA,41,43.4306,76.00348,43.4306,20.3056,0,50.5395,21.4102
